COUNTRY_CODE,COUNT
IND,3968
NGA,3210
SLE,967
GHA,848
KEN,836
USA,804
UGA,669
ZAF,611
ZMB,404
PHL,337
TZA,332
PAK,244
COD,235
BGD,234
NPL,222
LBR,177
ETH,162
RWA,160
GBR,156
GMB,152
ZWE,141
AGO,127
DEU,120
CIV,117
BWA,104
FRA,103
NAM,91
BRA,84
AFG,80
SOM,75
BFA,72
LSO,64
LKA,63
PNG,50
SAU,50
CMR,49
AUS,48
MMR,45
ISR,35
CAN,34
JPN,29
MLI,29
NLD,28
TGO,23
SSD,23
MYS,23
COL,22
MEX,18
IDN,18
VEN,18
ITA,18
ESP,17
SDN,17
GNQ,15
EGY,14
VNM,13
MWI,13
ARG,13
ARE,13
COG,13
MDG,12
THA,11
GIN,11
TCD,11
TJK,11
PRT,10
UKR,10
ECU,9
RUS,9
GUY,8
PER,8
HKG,8
IRL,8
LBN,7
SGP,7
SEN,7
PSE,7
IRQ,6
CHL,6
SWZ,6
TWN,6
URY,6
BOL,6
DZA,5
MUS,5
CHE,5
JAM,5
MAR,5
CZE,5
TUR,5
DOM,5
HRV,5
SWE,5
GRC,4
UZB,3
TUN,3
NZL,3
KAZ,3
NOR,3
KHM,3
TTO,3
CYM,3
YEM,3
BEN,3
LUX,3
SRB,3
BHS,3
LBY,2
AUT,2
BGR,2
MOZ,2
GEO,2
HND,2
FIN,2
BEL,2
POL,2
MRT,2
HTI,2
LAO,2
MKD,1
VUT,1
MNG,1
OMN,1
QAT,1
AZE,1
BTN,1
KIR,1
DNK,1
ERI,1
JOR,1
XKX,1
NER,1
DJI,1
LTU,1
ASM,1
GRD,1
SVN,1
ALB,1
BIH,1
MLT,1
FJI,1
KOR,1
SLV,1
ATG,1
KGZ,1
EST,1
MHL,1
KWT,1
GAB,1
CYP,1
